note_id,note_text,note_inserted_on,note_source,item_id,item_text,item_inserted_on,item_category,label,data_source
31449a262466f8e316e92684,The walk is settled or heaved. Uneven walking surfaces may cause someone to trip and fall. This is a safety concern.,1568769408,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
90f01ac898b8919582829afe,"The receptacle is painted, which affects proper electrical contact.  This is a safety concern.",1568769408,USInspect,rzXFwTZCSFSe25v93,Replace electrical outlet(s).,1530905975,Electrical,1,successfull
064c159a1bbdb9e4cf71649d,The dryer's vent is an improper material. This is a fire and safety concern.,1568769408,USInspect,FfLtLGM2ukgGixtdA,Replace dryer exhaust duct.,1531941336,HVAC,1,successfull
fa51579ef1190631397e4f0a,The driveway is cracked. Cracks may permit moisture to enter which may cause further damage to the driveway.,1568769408,USInspect,k3AbxYH2rFNbH6q2m,"Seal crack(s) in concrete (under 1/4"" width).",1530207271,Exterior,1,successfull
42333b98360f38280ce0e05f,The kickout flashing is missing at the juncture of an exterior wall and roof. This may permit water penetration.,1568769408,USInspect,jpr9sPNkEoXwxCnX3,Install kick out flashing.,1530552577,Roof,1,successfull
7cd6dbe15860bd3dc94eccc3,The flashing is improperly installed. This may permit water penetration.,1568769408,USInspect,f9jPvPhtHmm7ruvdN,Repair area(s) of flashing.,1531832253,Exterior,1,successfull
7edd154477d2bad12ba3c2b1,The downspout extension is missing. Downspout extensions are required to carry away roof run-off water from the foundation.,1568769408,USInspect,XXiuCtanyGesauaG8,Install/replace downspout extension(s).,1540495008,Exterior,1,successfull
8470ce5f3a9292e3d1900130,The interior wall is water damaged. Testing with a moisture meter indicates low moisture content (dry).,1568769408,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
8d942eb6e22053fd146f3b3b,The tub/shower is slow to drain. This prevents proper function.,1568769408,USInspect,tTJ7X2BYfkcseYqpJ,Repair slow drain(s).,1528398666,Plumbing,1,successfull
d4e016a6bbeeefd26000615c,The sink drain is leaking. This may permit water damage.,1568769408,USInspect,MQNAMQpCotJGX6KL8,Repair drain line(s).,1532091411,Plumbing,1,successfull
b8ce690f800d2f89716c87bf,"The dishwasher does not have an anti-siphon device on the drain line. An air gap or a ""high loop"" in the drain line prevents wastewater from entering the dishwasher and water supply. This is a health concern.",1568769408,USInspect,b6PMf3mL6cH3WRyGX,Install loop at dishwasher drain line.,1529937468,Plumbing,1,successfull
821798a8092c074e66452358,There is dead wood on the property.  This invites wood destroying organisms.,1568769408,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
f5b974a3f0e2cee870b2740d,There is a double-keyed deadbolt lock at the door. This is a safety concern if the key is damaged or missing during an emergency.,1568830676,USInspect,DaaAy7tvit8RAAefE,Install/replace door hardware.,1530713947,Windows/Doors,1,successfull
d66cdf835efa4494cad368ff,"The step's riser height is uneven, which may cause someone to trip and fall. Current standards call for a maximum variation of no more than 3/8"" between steps. . This is a safety concern.",1568830676,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
3b50ede3714746bfc15ea364,"There is inadequate clearance at the electrical panel. A minimum of 36"" is required in front of the panel, and the door must open to 90"". This is a safety concern.",1568830676,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
2b7405af27fa2a1e3c5b4566,The receptacle's cover plate is damaged. This is a shock and safety concern.,1568830676,USInspect,9vDvdwxhJwjhbpa86,Install/replace cover plate(s).,1525270567,Electrical,1,successfull
980758eff20ca29e08a123bf,The trim is deteriorated. This permits moisture to enter and may cause further deterioration. There may be hidden damage behind the trim.,1568830676,USInspect,N8aGDKs99TEyf7uxq,Repair area(s) of wood rot/deterioration at trim.,1530193232,Exterior,1,successfull
daf63e83bbe4a787a50ac24c,There are nail pops. This occurs when fasteners back out of the sheathing and may cause the shingles to lift. Nail pops may permit water penetration and further damage.,1568830676,USInspect,bayJ2WJGngD4YKaZE,Repair shingle nail pop(s).,1531164996,Roof,1,successfull
c40781e91273eaa777ac2293,The skylight has a failed insulated glass seal. This can causes condensation and fogging between the panes and around the edges leaking behind materials.,1568830676,USInspect,LavfNwfgFo55kcwho,Replace skylight(s).,1560953034,Windows/Doors,1,successfull
907fa6fd66c937c4bb9337da,The door hardware is damaged or inoperative and binding. This affects proper function.,1568830676,USInspect,wTwacFohrAzvPYNqf,Repair door hardware.,1530901469,Windows/Doors,1,successfull
258598dbb90525f28259575f,The window is painted/stuck shut. This affects proper function.,1568830676,USInspect,vAt8KCiRKkDH5HSwr,Repair window operation.,1530112822,Windows/Doors,1,successfull
13f28cac3828160bcfd1aa67,The compressor is not level. This may damage the compressor motor.,1568830676,USInspect,bwCdPWXc9Gypg5XFQ,Level HVAC unit(s).,1530026740,HVAC,1,successfull
7f99cd2cef4dab7a495c7876,The ductwork insulation is missing or damaged. This reduces system efficiency and causes condensation problems.,1568830676,USInspect,hgmR2C5wHNbgaz8aF,Repair area(s) of ductwork.,1529921941,HVAC,1,successfull
75375f747a3ecb6061d3c41c,There are damaged or rusted supply registers. The indicates airflow cannot be properly controlled or not effectively,1568830676,USInspect,dXhG9xWYtZGXkZEAE,Install/replace vent register(s).,1528303620,HVAC,1,successfull
019d35637425bf08179b3d68,The hot water supply pipe is leaking. This may cause water damage.,1568830676,USInspect,YwcrKEqDjCyESZxfv,Repair water supply valve.,1532548997,Plumbing,1,successfull
a07a9d2e39e2722fdf985e0f,The driveway has minor cracks with no differential movement. Cracks may permit moisture to enter which may cause further damage to the driveway.,1568830676,USInspect,k3AbxYH2rFNbH6q2m,"Seal crack(s) in concrete (under 1/4"" width).",1530207271,Exterior,1,successfull
c7de98d4effb18d7d4eeee86,There is vegetation in contact with the siding. Vegetation may cause damage and premature deterioration to the siding.,1568830676,USInspect,3wzZmwbcS5nDbZ7sQ,"Trim vegetation in direct contact with area(s) noted (less than 3"" diameter). ",1530110278,Exterior,1,successfull
0aa5e78bc2914ea79bfb1c33,There is debris on the roof. This may damage the roofing and permit water penetration.,1568830676,USInspect,b7LH6L7t2LyiKGx9D,Remove debris from roof.,1528399452,Roof,1,successfull
c57f889448f205ab5a1ff72f,The downspout extension is missing. Downspout extensions are required to carry away roof run-off water from the foundation.,1568830676,USInspect,XXiuCtanyGesauaG8,Install/replace downspout extension(s).,1540495008,Exterior,1,successfull
7229103d40eb57cbff57aa67,The deck support posts are not adequately attached to the deck structure. This is a safety hazard.,1568785075,USInspect,tcXfhdS4bmJJxGmqT,Secure railing/deck post(s).,1551367941,Exterior,1,successfull
2b42964860966596308afd8a,"There is inadequate clearance at the electrical panel. A minimum of 36"" is required in front of the panel, and the door must open to 90"". This is a safety concern.",1568785075,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
00921c47fb9b6f34681e1850,"The pressure relief valve discharge pipe terminates more than 6"" above the floor. It must be within 6"" of the floor to minimize the possibility of a scalding injury if the valve opens. This is a safety concern.",1568785075,USInspect,c5XYTbyfk6tCA9XFS,Install/replace T&P relief discharge pipe(s).,1534959829,Plumbing,1,successfull
15c7aed47281a5fce309f492,A section of the fence is loose. This affects its function.,1568785075,USInspect,XCgAfyzJkzN8jfqG2,Repair fence gate(s).,1530196082,Exterior,1,successfull
8b973e6dd6c6df976fe40697,The trim is damaged. This permits moisture to enter and may cause deterioration. There may be hidden damage behind the trim.,1568785075,USInspect,N8aGDKs99TEyf7uxq,Repair area(s) of wood rot/deterioration at trim.,1530193232,Exterior,1,successfull
4e8300878b50037ca3d89d08,The trim is deteriorated. This permits moisture to enter and may cause further deterioration. There may be hidden damage behind the trim.,1568785075,USInspect,N8aGDKs99TEyf7uxq,Repair area(s) of wood rot/deterioration at trim.,1530193232,Exterior,1,successfull
31edf2cea8a6da02a0cef683,The deck does not meet the standards as noted in current deck construction guidelines. Requirements have changed considerably in recent years in an effort to prevent injuries due to documented failures.,1568785075,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
4871d029e58f3888aa93b4dc,There are missing shingles. This permits water penetration.,1568785075,USInspect,ugD7Hj9Qec7WRAWJr,Replace area(s) of shingles.,1530108930,Roof,1,successfull
048e7b6afc9a110f0a610bc3,The grading is sloping towards the foundation. This may cause water penetration.,1568785075,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
ebcfe15a2d766c2f5980b6ce,The interior wall is water damaged. Testing with a moisture meter indicates high moisture content (wet.,1568785075,USInspect,3eiLQmPLpiToRj5QR,Evaluate item(s).,1558720364,Evaluate,1,successfull
